video_id,subject,action,camera,repetition,setup
S002C001P002R001A001,2,1,1,1,2
S002C001P002R001A002,2,2,1,1,2
S002C001P002R001A003,2,3,1,1,2
S002C001P002R001A004,2,4,1,1,2
S002C001P002R001A005,2,5,1,1,2
S002C001P002R001A006,2,6,1,1,2
S002C001P002R001A007,2,7,1,1,2
S002C001P002R001A008,2,8,1,1,2
S002C001P002R001A009,2,9,1,1,2
S002C001P002R001A010,2,10,1,1,2
S002C001P002R002A001,2,1,1,2,2
S002C001P002R002A002,2,2,1,2,2
S002C001P002R002A003,2,3,1,2,2
S002C001P002R002A004,2,4,1,2,2
S002C001P002R002A005,2,5,1,2,2
S002C001P002R002A006,2,6,1,2,2
S002C001P002R002A007,2,7,1,2,2
S002C001P002R002A008,2,8,1,2,2
S002C001P002R002A009,2,9,1,2,2
S002C001P002R002A010,2,10,1,2,2
S002C001P002R003A001,2,1,1,3,2
S002C001P002R003A002,2,2,1,3,2
S002C001P002R003A003,2,3,1,3,2
S002C001P002R003A004,2,4,1,3,2
S002C001P002R003A005,2,5,1,3,2
S002C001P002R003A006,2,6,1,3,2
S002C001P002R003A007,2,7,1,3,2
S002C001P002R003A008,2,8,1,3,2
S002C001P002R003A009,2,9,1,3,2
S002C001P002R003A010,2,10,1,3,2
S002C001P002R004A001,2,1,1,4,2
S002C001P002R004A002,2,2,1,4,2
S002C001P002R004A003,2,3,1,4,2
S002C001P002R004A004,2,4,1,4,2
S002C001P002R004A005,2,5,1,4,2
S002C001P002R004A006,2,6,1,4,2
S002C001P002R004A007,2,7,1,4,2
S002C001P002R004A008,2,8,1,4,2
S002C001P002R004A009,2,9,1,4,2
S002C001P002R004A010,2,10,1,4,2
S002C001P002R005A001,2,1,1,5,2
S002C001P002R005A002,2,2,1,5,2
S002C001P002R005A003,2,3,1,5,2
S002C001P002R005A004,2,4,1,5,2
S002C001P002R005A005,2,5,1,5,2
S002C001P002R005A006,2,6,1,5,2
S002C001P002R005A007,2,7,1,5,2
S002C001P002R005A008,2,8,1,5,2
S002C001P002R005A009,2,9,1,5,2
S002C001P002R005A010,2,10,1,5,2
S002C001P002R006A001,2,1,1,6,2
S002C001P002R006A002,2,2,1,6,2
S002C001P002R006A003,2,3,1,6,2
S002C001P002R006A004,2,4,1,6,2
S002C001P002R006A005,2,5,1,6,2
S002C001P002R006A006,2,6,1,6,2
S002C001P002R006A007,2,7,1,6,2
