video_id,subject,action,camera,repetition,setup
S002C001P002R001A001,002,001,001,001,002
S002C001P002R001A003,002,003,001,001,002
S002C001P002R001A004,002,004,001,001,002
S002C001P002R001A005,002,005,001,001,002
S002C001P002R001A006,002,006,001,001,002
S002C001P002R001A007,002,007,001,001,002
S002C001P002R001A008,002,008,001,001,002
S002C001P002R001A009,002,009,001,001,002
S002C001P002R001A010,002,010,001,001,002
S002C001P002R002A001,002,001,001,002,002
S002C001P002R002A002,002,002,001,002,002
S002C001P002R002A003,002,003,001,002,002
S002C001P002R002A004,002,004,001,002,002
S002C001P002R002A006,002,006,001,002,002
S002C001P002R002A007,002,007,001,002,002
S002C001P002R002A008,002,008,001,002,002
S002C001P002R002A009,002,009,001,002,002
S002C001P002R002A010,002,010,001,002,002
S002C001P002R003A003,002,003,001,003,002
S002C001P002R003A004,002,004,001,003,002
S002C001P002R003A005,002,005,001,003,002
S002C001P002R003A006,002,006,001,003,002
S002C001P002R003A007,002,007,001,003,002
S002C001P002R003A008,002,008,001,003,002
S002C001P002R003A009,002,009,001,003,002
S002C001P002R003A010,002,010,001,003,002
S002C001P002R004A001,002,001,001,004,002
S002C001P002R004A002,002,002,001,004,002
S002C001P002R004A003,002,003,001,004,002
S002C001P002R004A004,002,004,001,004,002
S002C001P002R004A005,002,005,001,004,002
S002C001P002R004A006,002,006,001,004,002
S002C001P002R004A007,002,007,001,004,002
S002C001P002R004A009,002,009,001,004,002
S002C001P002R004A010,002,010,001,004,002
S002C001P002R005A001,002,001,001,005,002
S002C001P002R005A002,002,002,001,005,002
S002C001P002R005A003,002,003,001,005,002
S002C001P002R005A004,002,004,001,005,002
S002C001P002R005A005,002,005,001,005,002
S002C001P002R005A006,002,006,001,005,002
S002C001P002R005A007,002,007,001,005,002
S002C001P002R005A008,002,008,001,005,002
S002C001P002R005A010,002,010,001,005,002
S002C001P002R006A002,002,002,001,006,002
S002C001P002R006A004,002,004,001,006,002
S002C001P002R006A006,002,006,001,006,002
S002C001P002R006A007,002,007,001,006,002
S002C001P002R006A010,002,010,001,006,002
S002C001P002R007A001,002,001,001,007,002
S002C001P002R007A002,002,002,001,007,002
S002C001P002R007A003,002,003,001,007,002
S002C001P002R007A005,002,005,001,007,002
S002C001P002R007A006,002,006,001,007,002
S002C001P002R007A007,002,007,001,007,002
S002C001P002R007A008,002,008,001,007,002
S002C001P002R007A009,002,009,001,007,002
S002C001P002R007A010,002,010,001,007,002
S002C001P002R008A001,002,001,001,008,002
S002C001P002R008A003,002,003,001,008,002
S002C001P002R008A004,002,004,001,008,002
S002C001P002R008A006,002,006,001,008,002
S002C001P002R008A007,002,007,001,008,002
S002C001P002R008A008,002,008,001,008,002
S002C001P002R008A009,002,009,001,008,002
S002C001P002R008A010,002,010,001,008,002
S002C001P002R009A001,002,001,001,009,002
S002C001P002R009A002,002,002,001,009,002
S002C001P002R009A003,002,003,001,009,002
S002C001P002R009A004,002,004,001,009,002
S002C001P002R009A005,002,005,001,009,002
S002C001P002R009A006,002,006,001,009,002
S002C001P002R009A007,002,007,001,009,002
S002C001P002R009A010,002,010,001,009,002
S002C001P002R010A001,002,001,001,010,002
S002C001P002R010A002,002,002,001,010,002
S002C001P002R010A004,002,004,001,010,002
S002C001P002R010A005,002,005,001,010,002
S002C001P002R010A006,002,006,001,010,002
S002C001P002R010A007,002,007,001,010,002
S002C001P002R010A008,002,008,001,010,002
S002C001P002R010A009,002,009,001,010,002
S002C001P002R011A001,002,001,001,011,002
S002C001P002R011A002,002,002,001,011,002
S002C001P002R011A005,002,005,001,011,002
S002C001P002R011A006,002,006,001,011,002
S002C001P002R011A009,002,009,001,011,002
S002C001P002R011A010,002,010,001,011,002
S002C001P002R012A001,002,001,001,012,002
S002C001P002R012A002,002,002,001,012,002
S002C001P002R012A003,002,003,001,012,002
S002C001P002R012A004,002,004,001,012,002
S002C001P002R012A005,002,005,001,012,002
S002C001P002R012A006,002,006,001,012,002
S002C001P002R012A008,002,008,001,012,002
S002C001P002R012A009,002,009,001,012,002
S002C001P002R012A010,002,010,001,012,002
S002C001P002R013A001,002,001,001,013,002
S002C001P002R013A003,002,003,001,013,002
S002C001P002R013A004,002,004,001,013,002
S002C001P002R013A005,002,005,001,013,002
S002C001P002R013A006,002,006,001,013,002
S002C001P002R013A007,002,007,001,013,002
S002C001P002R013A008,002,008,001,013,002
S002C001P002R013A009,002,009,001,013,002
S002C001P002R014A002,002,002,001,014,002
S002C001P002R014A003,002,003,001,014,002
S002C001P002R014A004,002,004,001,014,002
S002C001P002R014A005,002,005,001,014,002
S002C001P002R014A006,002,006,001,014,002
S002C001P002R014A007,002,007,001,014,002
S002C001P002R014A008,002,008,001,014,002
S002C001P002R014A009,002,009,001,014,002
S002C001P002R014A010,002,010,001,014,002
S002C001P002R015A001,002,001,001,015,002
S002C001P002R015A002,002,002,001,015,002
S002C001P002R015A003,002,003,001,015,002
S002C001P002R015A004,002,004,001,015,002
S002C001P002R015A005,002,005,001,015,002
S002C001P002R015A006,002,006,001,015,002
S002C001P002R015A007,002,007,001,015,002
S002C001P002R015A008,002,008,001,015,002
S002C001P002R015A009,002,009,001,015,002
S002C001P002R016A001,002,001,001,016,002
S002C001P002R016A003,002,003,001,016,002
S002C001P002R016A004,002,004,001,016,002
S002C001P002R016A005,002,005,001,016,002
S002C001P002R016A006,002,006,001,016,002
S002C001P002R016A007,002,007,001,016,002
S002C001P002R016A009,002,009,001,016,002
S002C001P002R016A010,002,010,001,016,002
S002C001P002R017A002,002,002,001,017,002
S002C001P002R017A003,002,003,001,017,002
S002C001P002R017A004,002,004,001,017,002
S002C001P002R017A005,002,005,001,017,002
S002C001P002R017A006,002,006,001,017,002
S002C001P002R017A007,002,007,001,017,002
S002C001P002R017A008,002,008,001,017,002
S002C001P002R017A009,002,009,001,017,002
S002C001P002R018A001,002,001,001,018,002
S002C001P002R018A002,002,002,001,018,002
S002C001P002R018A003,002,003,001,018,002
S002C001P002R018A004,002,004,001,018,002
S002C001P002R018A006,002,006,001,018,002
S002C001P002R018A007,002,007,001,018,002
S002C001P002R018A008,002,008,001,018,002
S002C001P002R018A009,002,009,001,018,002
S002C001P002R019A001,002,001,001,019,002
S002C001P002R019A002,002,002,001,019,002
S002C001P002R019A003,002,003,001,019,002
S002C001P002R019A004,002,004,001,019,002
S002C001P002R019A005,002,005,001,019,002
S002C001P002R019A006,002,006,001,019,002
S002C001P002R019A007,002,007,001,019,002
S002C001P002R020A001,002,001,001,020,002
S002C001P002R020A003,002,003,001,020,002
S002C001P002R020A004,002,004,001,020,002
S002C001P002R020A005,002,005,001,020,002
S002C001P002R020A006,002,006,001,020,002
S002C001P002R020A007,002,007,001,020,002
S002C001P002R020A008,002,008,001,020,002
S002C001P002R021A001,002,001,001,021,002
S002C001P002R021A002,002,002,001,021,002
S002C001P002R021A005,002,005,001,021,002
S002C001P002R021A006,002,006,001,021,002
S002C001P002R021A007,002,007,001,021,002
S002C001P002R021A008,002,008,001,021,002
S002C001P002R021A009,002,009,001,021,002
S002C001P002R021A010,002,010,001,021,002
S002C001P002R022A003,002,003,001,022,002
S002C001P002R022A004,002,004,001,022,002
S002C001P002R022A006,002,006,001,022,002
S002C001P002R022A007,002,007,001,022,002
S002C001P002R022A008,002,008,001,022,002
S002C001P002R022A009,002,009,001,022,002
S002C001P002R022A010,002,010,001,022,002
S002C001P002R023A001,002,001,001,023,002
S002C001P002R023A002,002,002,001,023,002
S002C001P002R023A003,002,003,001,023,002
S002C001P002R023A004,002,004,001,023,002
S002C001P002R023A005,002,005,001,023,002
S002C001P002R023A007,002,007,001,023,002
S002C001P002R023A008,002,008,001,023,002
S002C001P002R023A009,002,009,001,023,002
S002C001P002R023A010,002,010,001,023,002
S002C001P002R024A001,002,001,001,024,002
S002C001P002R024A002,002,002,001,024,002
S002C001P002R024A004,002,004,001,024,002
S002C001P002R024A005,002,005,001,024,002
S002C001P002R024A006,002,006,001,024,002
S002C001P002R024A008,002,008,001,024,002
S002C001P002R024A009,002,009,001,024,002
S002C002P002R001A001,002,001,002,001,002
S002C002P002R001A003,002,003,002,001,002
S002C002P002R001A004,002,004,002,001,002
S002C002P002R001A005,002,005,002,001,002
S002C002P002R001A006,002,006,002,001,002
S002C002P002R001A007,002,007,002,001,002
S002C002P002R001A008,002,008,002,001,002
S002C002P002R001A009,002,009,002,001,002
S002C002P002R001A010,002,010,002,001,002
S002C002P002R002A001,002,001,002,002,002
S002C002P002R002A002,002,002,002,002,002
S002C002P002R002A003,002,003,002,002,002
S002C002P002R002A004,002,004,002,002,002
S002C002P002R002A006,002,006,002,002,002
S002C002P002R002A007,002,007,002,002,002
S002C002P002R002A008,002,008,002,002,002
S002C002P002R002A009,002,009,002,002,002
S002C002P002R002A010,002,010,002,002,002
S002C002P002R003A003,002,003,002,003,002
S002C002P002R003A004,002,004,002,003,002
S002C002P002R003A005,002,005,002,003,002
S002C002P002R003A006,002,006,002,003,002
S002C002P002R003A007,002,007,002,003,002
S002C002P002R003A008,002,008,002,003,002
S002C002P002R003A009,002,009,002,003,002
S002C002P002R003A010,002,010,002,003,002
S002C002P002R004A001,002,001,002,004,002
S002C002P002R004A002,002,002,002,004,002
S002C002P002R004A003,002,003,002,004,002
S002C002P002R004A004,002,004,002,004,002
S002C002P002R004A005,002,005,002,004,002
S002C002P002R004A006,002,006,002,004,002
S002C002P002R004A007,002,007,002,004,002
S002C002P002R004A009,002,009,002,004,002
S002C002P002R004A010,002,010,002,004,002
S002C002P002R005A001,002,001,002,005,002
S002C002P002R005A002,002,002,002,005,002
S002C002P002R005A003,002,003,002,005,002
S002C002P002R005A004,002,004,002,005,002
S002C002P002R005A005,002,005,002,005,002
S002C002P002R005A006,002,006,002,005,002
S002C002P002R005A007,002,007,002,005,002
S002C002P002R005A008,002,008,002,005,002
S002C002P002R005A010,002,010,002,005,002
S002C002P002R006A002,002,002,002,006,002
S002C002P002R006A004,002,004,002,006,002
S002C002P002R006A006,002,006,002,006,002
S002C002P002R006A007,002,007,002,006,002
S002C002P002R006A010,002,010,002,006,002
S002C002P002R007A001,002,001,002,007,002
S002C002P002R007A002,002,002,002,007,002
S002C002P002R007A003,002,003,002,007,002
S002C002P002R007A005,002,005,002,007,002
S002C002P002R007A006,002,006,002,007,002
S002C002P002R007A007,002,007,002,007,002
S002C002P002R007A008,002,008,002,007,002
S002C002P002R007A009,002,009,002,007,002
S002C002P002R007A010,002,010,002,007,002
S002C002P002R008A001,002,001,002,008,002
S002C002P002R008A003,002,003,002,008,002
S002C002P002R008A004,002,004,002,008,002
S002C002P002R008A006,002,006,002,008,002
S002C002P002R008A007,002,007,002,008,002
S002C002P002R008A008,002,008,002,008,002
S002C002P002R008A009,002,009,002,008,002
S002C002P002R008A010,002,010,002,008,002
S002C002P002R009A001,002,001,002,009,002
S002C002P002R009A002,002,002,002,009,002
S002C002P002R009A003,002,003,002,009,002
S002C002P002R009A004,002,004,002,009,002
S002C002P002R009A005,002,005,002,009,002
S002C002P002R009A006,002,006,002,009,002
S002C002P002R009A007,002,007,002,009,002
S002C002P002R009A010,002,010,002,009,002
S002C002P002R010A001,002,001,002,010,002
S002C002P002R010A002,002,002,002,010,002
S002C002P002R010A004,002,004,002,010,002
S002C002P002R010A005,002,005,002,010,002
S002C002P002R010A006,002,006,002,010,002
S002C002P002R010A007,002,007,002,010,002
S002C002P002R010A008,002,008,002,010,002
S002C002P002R010A009,002,009,002,010,002
S002C002P002R011A001,002,001,002,011,002
S002C002P002R011A002,002,002,002,011,002
S002C002P002R011A005,002,005,002,011,002
S002C002P002R011A006,002,006,002,011,002
S002C002P002R011A009,002,009,002,011,002
S002C002P002R011A010,002,010,002,011,002
S002C002P002R012A001,002,001,002,012,002
S002C002P002R012A002,002,002,002,012,002
S002C002P002R012A003,002,003,002,012,002
S002C002P002R012A004,002,004,002,012,002
S002C002P002R012A005,002,005,002,012,002
S002C002P002R012A006,002,006,002,012,002
S002C002P002R012A008,002,008,002,012,002
S002C002P002R012A009,002,009,002,012,002
S002C002P002R012A010,002,010,002,012,002
S002C002P002R013A001,002,001,002,013,002
S002C002P002R013A003,002,003,002,013,002
S002C002P002R013A004,002,004,002,013,002
S002C002P002R013A005,002,005,002,013,002
S002C002P002R013A006,002,006,002,013,002
S002C002P002R013A007,002,007,002,013,002
S002C002P002R013A008,002,008,002,013,002
S002C002P002R013A009,002,009,002,013,002
S002C002P002R014A002,002,002,002,014,002
S002C002P002R014A003,002,003,002,014,002
S002C002P002R014A004,002,004,002,014,002
S002C002P002R014A005,002,005,002,014,002
S002C002P002R014A006,002,006,002,014,002
S002C002P002R014A007,002,007,002,014,002
S002C002P002R014A008,002,008,002,014,002
S002C002P002R014A009,002,009,002,014,002
S002C002P002R014A010,002,010,002,014,002
S002C002P002R015A001,002,001,002,015,002
S002C002P002R015A002,002,002,002,015,002
S002C002P002R015A003,002,003,002,015,002
S002C002P002R015A004,002,004,002,015,002
S002C002P002R015A005,002,005,002,015,002
S002C002P002R015A006,002,006,002,015,002
S002C002P002R015A007,002,007,002,015,002
S002C002P002R015A008,002,008,002,015,002
S002C002P002R015A009,002,009,002,015,002
S002C002P002R016A001,002,001,002,016,002
S002C002P002R016A003,002,003,002,016,002
S002C002P002R016A004,002,004,002,016,002
S002C002P002R016A005,002,005,002,016,002
S002C002P002R016A006,002,006,002,016,002
S002C002P002R016A007,002,007,002,016,002
S002C002P002R016A009,002,009,002,016,002
S002C002P002R016A010,002,010,002,016,002
S002C002P002R017A002,002,002,002,017,002
S002C002P002R017A003,002,003,002,017,002
S002C002P002R017A004,002,004,002,017,002
S002C002P002R017A005,002,005,002,017,002
S002C002P002R017A006,002,006,002,017,002
S002C002P002R017A007,002,007,002,017,002
S002C002P002R017A008,002,008,002,017,002
S002C002P002R017A009,002,009,002,017,002
S002C002P002R018A001,002,001,002,018,002
S002C002P002R018A002,002,002,002,018,002
S002C002P002R018A003,002,003,002,018,002
S002C002P002R018A004,002,004,002,018,002
S002C002P002R018A006,002,006,002,018,002
S002C002P002R018A007,002,007,002,018,002
S002C002P002R018A008,002,008,002,018,002
S002C002P002R018A009,002,009,002,018,002
S002C002P002R019A001,002,001,002,019,002
S002C002P002R019A002,002,002,002,019,002
S002C002P002R019A003,002,003,002,019,002
S002C002P002R019A004,002,004,002,019,002
S002C002P002R019A005,002,005,002,019,002
S002C002P002R019A006,002,006,002,019,002
S002C002P002R019A007,002,007,002,019,002
S002C002P002R020A001,002,001,002,020,002
S002C002P002R020A003,002,003,002,020,002
S002C002P002R020A004,002,004,002,020,002
S002C002P002R020A005,002,005,002,020,002
S002C002P002R020A006,002,006,002,020,002
S002C002P002R020A007,002,007,002,020,002
S002C002P002R020A008,002,008,002,020,002
S002C002P002R021A001,002,001,002,021,002
S002C002P002R021A002,002,002,002,021,002
S002C002P002R021A005,002,005,002,021,002
S002C002P002R021A006,002,006,002,021,002
S002C002P002R021A007,002,007,002,021,002
S002C002P002R021A008,002,008,002,021,002
S002C002P002R021A009,002,009,002,021,002
S002C002P002R021A010,002,010,002,021,002
S002C002P002R022A003,002,003,002,022,002
S002C002P002R022A004,002,004,002,022,002
S002C002P002R022A006,002,006,002,022,002
S002C002P002R022A007,002,007,002,022,002
S002C002P002R022A008,002,008,002,022,002
S002C002P002R022A009,002,009,002,022,002
S002C002P002R022A010,002,010,002,022,002
S002C002P002R023A001,002,001,002,023,002
S002C002P002R023A002,002,002,002,023,002
S002C002P002R023A003,002,003,002,023,002
S002C002P002R023A004,002,004,002,023,002
S002C002P002R023A005,002,005,002,023,002
S002C002P002R023A007,002,007,002,023,002
S002C002P002R023A008,002,008,002,023,002
S002C002P002R023A009,002,009,002,023,002
S002C002P002R023A010,002,010,002,023,002
S002C002P002R024A001,002,001,002,024,002
S002C002P002R024A002,002,002,002,024,002
S002C002P002R024A004,002,004,002,024,002
S002C002P002R024A005,002,005,002,024,002
S002C002P002R024A006,002,006,002,024,002
S002C002P002R024A008,002,008,002,024,002
S002C002P002R024A009,002,009,002,024,002
S002C003P002R001A001,002,001,003,001,002
S002C003P002R001A003,002,003,003,001,002
S002C003P002R001A004,002,004,003,001,002
S002C003P002R001A005,002,005,003,001,002
S002C003P002R001A006,002,006,003,001,002
S002C003P002R001A007,002,007,003,001,002
S002C003P002R001A008,002,008,003,001,002
S002C003P002R001A009,002,009,003,001,002
S002C003P002R001A010,002,010,003,001,002
S002C003P002R002A001,002,001,003,002,002
S002C003P002R002A002,002,002,003,002,002
S002C003P002R002A003,002,003,003,002,002
S002C003P002R002A004,002,004,003,002,002
S002C003P002R002A006,002,006,003,002,002
S002C003P002R002A007,002,007,003,002,002
S002C003P002R002A008,002,008,003,002,002
S002C003P002R002A009,002,009,003,002,002
S002C003P002R002A010,002,010,003,002,002
S002C003P002R003A003,002,003,003,003,002
S002C003P002R003A004,002,004,003,003,002
S002C003P002R003A005,002,005,003,003,002
S002C003P002R003A006,002,006,003,003,002
S002C003P002R003A007,002,007,003,003,002
S002C003P002R003A008,002,008,003,003,002
S002C003P002R003A009,002,009,003,003,002
S002C003P002R003A010,002,010,003,003,002
S002C003P002R004A001,002,001,003,004,002
S002C003P002R004A002,002,002,003,004,002
S002C003P002R004A003,002,003,003,004,002
S002C003P002R004A004,002,004,003,004,002
S002C003P002R004A005,002,005,003,004,002
S002C003P002R004A006,002,006,003,004,002
S002C003P002R004A007,002,007,003,004,002
S002C003P002R004A009,002,009,003,004,002
S002C003P002R004A010,002,010,003,004,002
S002C003P002R005A001,002,001,003,005,002
S002C003P002R005A002,002,002,003,005,002
S002C003P002R005A003,002,003,003,005,002
S002C003P002R005A004,002,004,003,005,002
S002C003P002R005A005,002,005,003,005,002
S002C003P002R005A006,002,006,003,005,002
S002C003P002R005A007,002,007,003,005,002
S002C003P002R005A008,002,008,003,005,002
S002C003P002R005A010,002,010,003,005,002
S002C003P002R006A002,002,002,003,006,002
S002C003P002R006A004,002,004,003,006,002
S002C003P002R006A006,002,006,003,006,002
S002C003P002R006A007,002,007,003,006,002
S002C003P002R006A010,002,010,003,006,002
S002C003P002R007A001,002,001,003,007,002
S002C003P002R007A002,002,002,003,007,002
S002C003P002R007A003,002,003,003,007,002
S002C003P002R007A005,002,005,003,007,002
S002C003P002R007A006,002,006,003,007,002
S002C003P002R007A007,002,007,003,007,002
S002C003P002R007A008,002,008,003,007,002
S002C003P002R007A009,002,009,003,007,002
S002C003P002R007A010,002,010,003,007,002
S002C003P002R008A001,002,001,003,008,002
S002C003P002R008A003,002,003,003,008,002
S002C003P002R008A004,002,004,003,008,002
S002C003P002R008A006,002,006,003,008,002
S002C003P002R008A007,002,007,003,008,002
S002C003P002R008A008,002,008,003,008,002
S002C003P002R008A009,002,009,003,008,002
S002C003P002R008A010,002,010,003,008,002
S002C003P002R009A001,002,001,003,009,002
S002C003P002R009A002,002,002,003,009,002
S002C003P002R009A003,002,003,003,009,002
S002C003P002R009A004,002,004,003,009,002
S002C003P002R009A005,002,005,003,009,002
S002C003P002R009A006,002,006,003,009,002
S002C003P002R009A007,002,007,003,009,002
S002C003P002R009A010,002,010,003,009,002
S002C003P002R010A001,002,001,003,010,002
S002C003P002R010A002,002,002,003,010,002
S002C003P002R010A004,002,004,003,010,002
S002C003P002R010A005,002,005,003,010,002
S002C003P002R010A006,002,006,003,010,002
S002C003P002R010A007,002,007,003,010,002
S002C003P002R010A008,002,008,003,010,002
S002C003P002R010A009,002,009,003,010,002
S002C003P002R011A001,002,001,003,011,002
S002C003P002R011A002,002,002,003,011,002
S002C003P002R011A005,002,005,003,011,002
S002C003P002R011A006,002,006,003,011,002
S002C003P002R011A009,002,009,003,011,002
S002C003P002R011A010,002,010,003,011,002
S002C003P002R012A001,002,001,003,012,002
S002C003P002R012A002,002,002,003,012,002
S002C003P002R012A003,002,003,003,012,002
S002C003P002R012A004,002,004,003,012,002
S002C003P002R012A005,002,005,003,012,002
S002C003P002R012A006,002,006,003,012,002
S002C003P002R012A008,002,008,003,012,002
S002C003P002R012A009,002,009,003,012,002
S002C003P002R012A010,002,010,003,012,002
S002C003P002R013A001,002,001,003,013,002
S002C003P002R013A003,002,003,003,013,002
S002C003P002R013A004,002,004,003,013,002
S002C003P002R013A005,002,005,003,013,002
S002C003P002R013A006,002,006,003,013,002
S002C003P002R013A007,002,007,003,013,002
S002C003P002R013A008,002,008,003,013,002
S002C003P002R013A009,002,009,003,013,002
S002C003P002R014A002,002,002,003,014,002
S002C003P002R014A003,002,003,003,014,002
S002C003P002R014A004,002,004,003,014,002
S002C003P002R014A005,002,005,003,014,002
S002C003P002R014A006,002,006,003,014,002
S002C003P002R014A007,002,007,003,014,002
S002C003P002R014A008,002,008,003,014,002
S002C003P002R014A009,002,009,003,014,002
S002C003P002R014A010,002,010,003,014,002
S002C003P002R015A001,002,001,003,015,002
S002C003P002R015A002,002,002,003,015,002
S002C003P002R015A003,002,003,003,015,002
S002C003P002R015A004,002,004,003,015,002
S002C003P002R015A005,002,005,003,015,002
S002C003P002R015A006,002,006,003,015,002
S002C003P002R015A007,002,007,003,015,002
S002C003P002R015A008,002,008,003,015,002
S002C003P002R015A009,002,009,003,015,002
S002C003P002R016A001,002,001,003,016,002
S002C003P002R016A003,002,003,003,016,002
S002C003P002R016A004,002,004,003,016,002
S002C003P002R016A005,002,005,003,016,002
S002C003P002R016A006,002,006,003,016,002
S002C003P002R016A007,002,007,003,016,002
S002C003P002R016A009,002,009,003,016,002
S002C003P002R016A010,002,010,003,016,002
S002C003P002R017A002,002,002,003,017,002
S002C003P002R017A003,002,003,003,017,002
S002C003P002R017A004,002,004,003,017,002
S002C003P002R017A005,002,005,003,017,002
S002C003P002R017A006,002,006,003,017,002
S002C003P002R017A007,002,007,003,017,002
S002C003P002R017A008,002,008,003,017,002
S002C003P002R017A009,002,009,003,017,002
S002C003P002R018A001,002,001,003,018,002
S002C003P002R018A002,002,002,003,018,002
S002C003P002R018A003,002,003,003,018,002
S002C003P002R018A004,002,004,003,018,002
S002C003P002R018A006,002,006,003,018,002
S002C003P002R018A007,002,007,003,018,002
S002C003P002R018A008,002,008,003,018,002
S002C003P002R018A009,002,009,003,018,002
S002C003P002R019A001,002,001,003,019,002
S002C003P002R019A002,002,002,003,019,002
S002C003P002R019A003,002,003,003,019,002
S002C003P002R019A004,002,004,003,019,002
S002C003P002R019A005,002,005,003,019,002
S002C003P002R019A006,002,006,003,019,002
S002C003P002R019A007,002,007,003,019,002
S002C003P002R020A001,002,001,003,020,002
S002C003P002R020A003,002,003,003,020,002
S002C003P002R020A004,002,004,003,020,002
S002C003P002R020A005,002,005,003,020,002
S002C003P002R020A006,002,006,003,020,002
S002C003P002R020A007,002,007,003,020,002
S002C003P002R020A008,002,008,003,020,002
